id,genus,species,collector,number,addcoll,dups,majorarea,minorarea,locnotes,altitude,colldate,latitude,longitude,country,collcite,phenology
2327,Solanum,acaule,"Okada, KA",4551,,PTIS,Jujuy,Humahuaca,,3500 m,25-Mar-80,"22°58'12""S","65°25'48""W",Argentina,Okada,fl
2336,Solanum,acaule,"Okada, KA",6990,,BAL,Jujuy,Humahuaca,Quebrada Inca cuevas,3600 m,25-Jan-79,"22°55'60""S",65°18'W,Argentina,Okada,
2338,Solanum,acaule,"Okada, KA",7413,,BAL,Jujuy,Humahuaca,Chaupi Rodero,3500 m,29-Jan-82,"22°55'60""S",65°18'W,Argentina,Okada,fl
2291,Solanum,acaule,"Okada, KA",7421,,BAL,Jujuy,Humahuaca,Palca de Aparzo,3600 m,31-Jan-82,23°6'S,"65°5'60""W",Argentina,Okada,fr
2273,Solanum,acaule,"Okada, KA",5363,"Hermsen, JG; Bellos, E","BAL, PTIS",Jujuy,Humahuaca,Serrania de Aparzo,4000 m,26-Mar-74,"23°7'60""S",65°12'W,Argentina,Okada et al.,fl
2317,Solanum,acaule,"Okada, KA",6670,"Clausen, AM; Montes, L ",BAL,Jujuy,Humahuaca,Abra El Condor,3850 m,04-Feb-78,"23°0'60""S","65°5'60""W",Argentina,Okada et al.,fr
2318,Solanum,acaule,"Okada, KA",6681,"Clausen, AM; Montes, L ",BAL,Jujuy,Humahuaca,Esquina Blanca,3800 m,06-Feb-78,"23°0'60""S","65°5'60""W",Argentina,Okada et al.,fl
2324,Solanum,acaule,"Okada, KA",6732,"García, O","BAL, PTIS",Jujuy,Humahuaca,Pucará,3500 m,15-Apr-78,"22°58'60""S","65°20'60""W",Argentina,Okada & García,fr
2251,Solanum,acaule,"Okada, KA",6759,"García, O","BAL, PTIS",Jujuy,Humahuaca,Esquina Blanca,3600 m,17-Apr-78,"23°18'60""S","65°13'60""W",Argentina,Okada & García,fl
2268,Solanum,acaule,"Ruthsatz, B",21,,MO,Jujuy,Humahuaca,Abra del Aguilar,4300 m,22-Mar-73,"23°7'60""S",65°42'W,Argentina,Ruthsatz,fl
2367,Solanum,acaule,"Clausen, AM",1264,"Carranza, AV; Stábile, A",BAL,Jujuy,Rinconada,Rinconada,3944 m,01-Apr-01,"22°25'60""S","66°9'60""W",Argentina,Clausen et al.,fr
2389,Solanum,acaule,"Okada, KA",4030,,"BAL, PTIS",Jujuy,Rinconada,,4000 m,11-Apr-71,"22°16'48""S","66°7'12""W",Argentina,Okada,fl
2356,Solanum,acaule,"Schwabe, H",1088,,LP,Jujuy,RINCONADA,Mina Pirquitas,4300 m,01-Mar-64,"22°40'60""S","66°30'60""W",Argentina,Schwabe,fr
2469,Solanum,acaule,"Clausen, AM",1270,"Carranza, AV; Stábile, A",BAL,Jujuy,Santa Catalina,Santa Catalina,4116 m,02-Apr-01,21°57'S,"66°3'60""W",Argentina,Clausen et al.,fl
2397,Solanum,acaule,"Clausen, AM",1278,"Carranza, AV; Stábile, A",BAL,Jujuy,Santa Catalina,El Angosto,3604 m,02-Apr-01,22°15'S,"66°4'60""W",Argentina,Clausen et al.,fr
2464,Solanum,acaule,"Okada, KA",3710,,BAL,Jujuy,Santa Catalina,San Francisco,3800 m,20-Feb-71,"22°1'60""S",66°9'W,Argentina,Okada,fl
2472,Solanum,acaule,"Okada, KA",3718,,"BAL, PTIS",Jujuy,Santa Catalina,Santa Catalina,4000 m,20-Feb-71,21°57'S,"66°3'60""W",Argentina,Okada,fl
2463,Solanum,acaule,"Okada, KA",3720,,"BAL, PTIS",Jujuy,Santa Catalina,Puesto Grande,3700 m,21-Feb-71,"22°3'60""S","66°0'60""W",Argentina,Okada,
2486,Solanum,acaule,"Okada, KA",3918,,BAL,Jujuy,Santa Catalina,El Angosto,4000 m,06-Apr-71,21°54'S,"66°13'60""W",Argentina,Okada,
2473,Solanum,acaule,"Okada, KA",3920,, BAL,Jujuy,Santa Catalina,El Angosto,4000 m,06-Apr-71,21°57'S,"66°3'60""W",Argentina,Okada,
2487,Solanum,acaule,"Okada, KA",3921,, BAL,Jujuy,Santa Catalina,El Angosto,4000 m,13-Apr-71,21°54'S,"66°13'60""W",Argentina,Okada,
2474,Solanum,acaule,"Okada, KA",3923,,PTIS,Jujuy,Santa Catalina,Santa Catalina,4000 m,10-Apr-71,21°57'S,"66°3'60""W",Argentina,Okada,
2428,Solanum,acaule,"Okada, KA",3936,,"BAL, PTIS",Jujuy,Santa Catalina,Finca La Buena Esperanza,3800 m,06-Apr-71,22°12'S,66°24'W,Argentina,Okada,fr
2434,Solanum,acaule,"Okada, KA",5773,"Bellos, E",PTIS,Jujuy,Santa Catalina,Quebrada Corimayo,4120 m,19-Apr-74,"22°9'60""S","66°10'60""W",Argentina,Okada & Bellos,fl
2488,Solanum,acaule,"Okada, KA",5784,"Bellos, E",PTIS,Jujuy,Santa Catalina,Oros,3900 m,19-Apr-74,21°54'S,"66°13'60""W",Argentina,Okada & Bellos,
2384,Solanum,acaule,"Okada, KA",5801,"Bellos, E",PTIS,Jujuy,Santa Catalina,Oros,3800 m,20-Apr-74,"22°19'60""S","66°28'60""W",Argentina,Okada & Bellos,fr
2309,Solanum,acaule,"Hoffmann, W",1692,,"BAL, PTIS",Jujuy,Susques,Santa Victoria,4200 m,1970,23°3'S,66°57'W,Argentina,Hoffmann,fr
2307,Solanum,acaule,"Múlgura, M",1298,"Deginani, N; Taylor, Ch; Careno, P",MO,Jujuy,Susques,,4300 m,16-Mar-94,"23°4'12""S","66°18'36""W",Argentina,Múlgura et al.,
2229,Solanum,acaule,"Balls, EK",6026,"Gourlay, WB; Hawkes, JG",K,Jujuy,Tilcara,"Near Tilcara, top of Chorru Valley",3800 m,13-Feb-39,23°34'S,65°22'W,Argentina,Balls et al.,
2235,Solanum,acaule,"Balls, EK",6028,"Gourlay, WB; Hawkes, JG",K,Jujuy,Tilcara,Tilcara,3600 m,13-Feb-39,"23°33'60""S","65°21'60""W",Argentina,Balls et al.,
2218,Solanum,acaule,"Cabrera, AL",14080,"Hernandez, P",LP,Jujuy,Tilcara,Alto de La Laguna Negra,4100 m,05-Mar-61,"23°42'60""S","65°5'60""W",Argentina,Cabrera & Hernandez,fl
2230,Solanum,acaule,"Hjerting, JP",353,,"BAL, PTIS",Jujuy,Tilcara,Quebrada del Chorro,3400 m,06-Feb-71,23°34'S,65°22'W,Argentina,Hjerting,
2214,Solanum,acaule,"Okada, KA",4359,,"BAL, PTIS",Jujuy,Tilcara,Piedra Rosada,4000 m,21-Mar-72,"23°43'60""S",65°15'W,Argentina,Okada,fr
2233,Solanum,acaule,"Okada, KA",4378,,PTIS,Jujuy,Tilcara,Inticanchi,3400 m,22-Sep-82,"23°33'60""S","65°21'60""W",Argentina,Okada,fr
2203,Solanum,acaule,"Okada, KA",4380,,"BAL, K",Jujuy,Tilcara,Piscuno,3100 m,22-Mar-72,23°45'S,"65°12'60""W",Argentina,Okada,fl
2223,Solanum,acaule,"Okada, KA",4383,,PTIS,Jujuy,Tilcara,Piscuno,3100 m,06-Oct-82,"23°39'60""S","65°9'60""W",Argentina,Okada,fr
2209,Solanum,acaule,"Okada, KA",4418,,"BAL, PTIS",Jujuy,Tilcara,Puesto Ventura,4000 m,24-Mar-72,23°44'S,65°15'W,Argentina,Okada,fl
2217,Solanum,acaule,"Petersen, E",341,"Hjerting, JP",K,Jujuy,Tumbaya,Punta Corral,3800 m,20-Mar-52,"23°42'60""S","65°22'60""W",Argentina,Petersen & Hjerting,fl
2243,Solanum,acaule,"Hoffmann, W",1509,,BAL,Jujuy,Valle Grande,Valle Grande,2900 m,14-Mar-75,"23°27'60""S","64°58'60""W",Argentina,Hoffmann,fr
2420,Solanum,acaule,"Barboza, GE",1782,"Oberti, JC; Matesevach, AM",CORD,Jujuy,Yavi,,NA,23-Mar-06,"22°13'39""S","65°16'5""W",Argentina,Barboza et al.,fl
2440,Solanum,acaule,"Hoffmann, W",1614,,"BAL, PTIS",Jujuy,Yavi,Chalcamayo,3850 m,s.d.,"22°7'60""S","65°27'60""W",Argentina,Hoffmann,fr
2402,Solanum,acaule,"Hoffmann, W",1661,,"BAL, PTIS",Jujuy,Yavi,Cajas,4000 m,1970,22°15'S,65°18'W,Argentina,Hoffmann,
2400,Solanum,acaule,"Kiesling, R",689,,LP,Jujuy,Yavi,Cajas,NA,09-Feb-74,22°15'S,65°18'W,Argentina,Kiesling,
2448,Solanum,acaule,"Negritto, M",398,"Barboza, GEE; Chiarini, F; Matesevach, M","CORD, CTES",Jujuy,Yavi,La Quiaca,NA,08-Mar-02,22°6'S,"65°36'60""W",Argentina,Negritto et al.,fl
2425,Solanum,acaule,"Negritto, M",425,"Barboza, GEE; Chiarini, F; Matesevach, M",CORD,Jujuy,Yavi,Abra de Lizoite,NA,08-Mar-02,"22°12'60""S","65°13'60""W",Argentina,Negritto et al.,fr
2462,Solanum,acaule,"Okada, KA",3885,,BAL,Jujuy,Yavi,Río Chico,3620 m,04-Apr-71,"22°4'48""S","65°36'60""W",Argentina,Okada,fr
2408,Solanum,acaule,"Okada, KA",5459,"Hermsen, JG; Bellos, E","BAL, PTIS",Jujuy,Yavi,Rincon de Cajas,3980 m,30-Mar-74,22°15'S,65°18'W,Argentina,Okada et al.,fr
2443,Solanum,acaule,"Okada, KA",6230,"Monti, C; Bellos, E; Casino, J",PTIS,Jujuy,Yavi,Yavi,4200 m,20-Apr-76,"22°7'60""S","65°27'60""W",Argentina,Okada et al.,fr
2401,Solanum,acaule,"Petersen, E",974,"Hjerting, JP",K,Jujuy,Yavi,Caja,3950 m,16-Feb-53,22°15'S,65°18'W,Argentina,Petersen & Hjerting,fl
2199,Solanum,acaule,"Hjerting, JP",344,"Petersen, E ","LIL, PTIS",Jujuy,Unknown,Estancia Vieja,3700 m,17-Apr-52,"23°49'12""S","65°16'12""W",Argentina,Hjerting & Petersen,
2237,Solanum,acaule,"Sleumer, H",s.n.,,PTIS,Jujuy,Unknown,Casa Colorada,4000 m,s.d.,"23°33'60""S","65°19'60""W",Argentina,Sleumer,fr
2043,Solanum,acaule,"Okada, KA",4223,,BAL,La Rioja,Famatina,Peña Negra,3200 m,01-Feb-72,"28°54'60""S","67°10'60""W",Argentina,Okada,fr
2066,Solanum,acaule,"Okada, KA",4226,,BAL,La Rioja,Famatina,Río Vega Honda,3200 m,01-Feb-72,"28°31'12""S","67°27'36""W",Argentina,Okada,fl
2058,Solanum,acaule,"Okada, KA",4274,,BAL,La Rioja,Famatina,Ciénaga Grande,3100 m,02-Feb-72,"28°39'60""S",67°42'W,Argentina,Okada,
2032,Solanum,acaule,"Okada, KA",4276,,BAL,La Rioja,Famatina,Sierra de Famatina,3400 m,02-Feb-72,29°S,67°30'W,Argentina,Okada,fl
2073,Solanum,acaule,"Okada, KA",6080,"Hawkes, JG; Bellos, E",BAL,La Rioja,Famatina,Sierra de Famatina,2900 m,14-Mar-75,"28°24'60""S","67°40'60""W",Argentina,Okada et al.,fr
2143,Solanum,acaule,"Okada, KA",7503,"García, O","BAL, PTIS",Salta, Chicoana,Cuesta del Obispo,3450 m,20-Mar-83,"25°9'60""S","65°50'60""W",Argentina,Okada & García,fr
2347,Solanum,acaule,"Okada, KA",6668,"Clausen, AM; Montes, L ",BAL,Salta,Iruya,Abra El Condor,3500 m,04-Feb-78,"22°49'60""S",64°42'W,Argentina,Okada et al.,
2160,Solanum,acaule,"Okada, KA",7376,,BAL,Salta,La Poma,El Rodeo,3700 m,21-Jan-82,"24°49'60""S","66°10'60""W",Argentina,Okada,
2224,Solanum,acaule,"Okada, KA",4863,"Lucarini, O ","BAL, PTIS",Salta,La Poma,Negra Muerta,4300 m,21-Mar-73,23°39'S,66°18'W,Argentina,Okada & Lucarini,fr
2170,Solanum,acaule,"Okada, KA",4864,"Lucarini, O ","BAL, PTIS",Salta,La Poma,Negra Muerta,4100 m,28-Mar-73,24°21'S,66°12'W,Argentina,Okada & Lucarini,fl
2156,Solanum,acaule,"Okada, KA",4871,"Lucarini, O",BAL,Salta,La Poma,La Quesera,3700 m,28-Mar-73,24°54'S,66°9'W,Argentina,Okada & Lucarini,
2296,Solanum,acaule,"Okada, KA",4465,,"BAL, PTIS",Salta,Orán,Sierra de Zenta,4400 m,09-Sep-83,23°6'S,"64°31'60""W",Argentina,Okada,
2275,Solanum,acaule,"Okada, KA",4469,,BAL,Salta,Orán,Abra de Volcán,3900 m,31-Mar-72,"23°7'60""S","64°19'60""W",Argentina,Okada,fr
2246,Solanum,acaule,"Okada, KA",4470,,"BAL, PTIS",Salta,Orán,Sierra de Zenta,3900 m,31-Mar-72,"23°24'60""S","63°42'60""W",Argentina,Okada,fl
2297,Solanum,acaule,"Okada, KA",7632,"García, O","BAL, PTIS",Salta,Orán,Palca de Aparzo,3600 m,17-Apr-83,"23°5'24""S","64°35'24""W",Argentina,Okada & García,fl
2278,Solanum,acaule,"Okada, KA",7636,"García, O",BAL,Salta,Orán,Punta Medio Cerro,2900 m,20-Apr-83,"23°7'12""S",64°33'W,Argentina,Okada & García,fr
2157,Solanum,acaule,"Rodriguez, FM",1258,,LIL,Salta,Rosaria de Lerma,El Alisal,2800 m,10-Jan-14,24°51'S,"65°40'60""W",Argentina,Rodriguez,fl
2155,Solanum,acaule,"Okada, KA",7536,"García, O",PTIS,Salta, Rosario de Lerma,Rosario de Lerma,3650 m,27-Mar-83,"24°58'60""S","65°34'60""W",Argentina,Okada & García,fr
2393,Solanum,acaule,"Clausen, AM",584,,BAL,Salta,Santa Victoria,Lizoite,3400 m,s.d.,"22°15'60""S","65°10'60""W",Argentina,Clausen,fl
2413,Solanum,acaule,"Hoffmann, W",1848,,BAL,Salta,Santa Victoria,Rodeopampa,3350 m,05-Mar-71,22°15'S,"65°3'60""W",Argentina,Hoffmann,fl
2381,Solanum,acaule,"Okada, KA",5434,"Hermsen, JG; Bellos, E","BAL, PTIS",Salta,Santa Victoria,"Rodeopampa, Abra de Lizoite",3500 m,29-Mar-74,"22°22'60""S","65°16'60""W",Argentina,Okada et al.,fr
2359,Solanum,acaule,"Okada, KA",5437,"Hermsen, JG; Bellos, E","BAL, PTIS",Salta,Santa Victoria,Abra de Lizoite,3300 m,29-Mar-74,"22°33'60""S","64°37'60""W",Argentina,Okada et al.,fl
2416,Solanum,acaule,"Okada, KA",5442,"Hermsen, JG; Bellos, E",PTIS,Salta,Santa Victoria,Abra de Lizoite,3300 m,12-Mar-74,22°15'S,"64°57'60""W",Argentina,Okada et al.,fr
2083,Solanum,acaule,"Brücher, H",512,,LL,Tucumán,Andalgalá,Nevados del Aconquija,4000 m,Jan-50,"27°12'60""S","66°7'60""W",Argentina,Brücher,fl
2103,Solanum,acaule,"Castillon, L",3195,,LIL,Tucumán,Tafí del Valle,El Infiernillo,NA,22-Dec-13,"26°46'48""S",65°45'W,Argentina,Castillon,
2121,Solanum,acaule,"Clausen, AM",1767,"Stábile, A",BAL,Tucumán,Tafí del Valle,Cumbres Calchaquies,3530 m,16-Mar-07,26°27'S,"65°42'60""W",Argentina,Clausen & Stábile,fr
2112,Solanum,acaule,"Lillo, M",1231,,LIL,Tucumán,Tafí del Valle,La Ciénaga,2400 m,s.d.,"26°45'60""S",65°39'W,Argentina,Lillo,
2094,Solanum,acaule,"Lillo, M",4212,,LIL,Tucumán,Tafí del Valle,Tafí del Valle,4000 m,25-Feb-05,"26°51'60""S","65°40'60""W",Argentina,Lillo,fr
2107,Solanum,acaule,"Okada, KA",5694,"Hermsen, JG; Van Harten, A; Hawkes, JG; Bellos, E",PTIS,Tucumán,Tafí del Valle,Infiernillo,2940 m,11-Apr-74,"26°46'12""S",65°45'W,Argentina,Okada et al.,fr
2116,Solanum,acaule,"Olea, D",8757,,LIL,Tucumán,Tafí del Valle,San José,2800 m,01-Jan-33,"26°43'60""S","65°43'60""W",Argentina,Olea,fl
2130,Solanum,acaule,"Petersen, E",329,"Hjerting, JP",K,Tucumán,Tafí del Valle,Quebrada Honda,3200 m,16-Feb-52,26°21'S,"65°55'60""W",Argentina,Petersen & Hjerting,fr
2510,Solanum,acaule,"Spooner, DM",6689,"Willman García, F","BOLV, WAG",Chuquisaca,Azurduy,"113 km N of Azurduy, 20 km N of Cruz Kasa, 30 km N of Torre Pampa Junction, 1:250,000-scale map SE 20-13",3730 m,07-Mar-93,"19°44'50""S","64°35'8""W",Bolivia,Spooner & Willman García,fr
2545,Solanum,acaule,"Hawkes, JG",4246,"Hjerting, JP; Cribb, PJ; Huamán, Z",K,Cochabamba,Arani,"Koari, 87 km from Cochabamba on road to Santa Cruz",3550 m,26-Jan-71,"17°25'60""S","64°50'60""W",Bolivia,Hawkes et al.,fl
2551,Solanum,acaule,"Hawkes, JG",6571,"Hjerting, JP; Avilés, I",K,Cochabamba,Ayopaya,"27 km from Kami on road from Cruce de Challa to Independencia, Abra de Ornoni",3730 m,10-Mar-80,17°15'S,66°54'W,Bolivia,Hawkes et al.,fr
2550,Solanum,acaule,"Hawkes, JG",6601,"Hjerting, JP; Avilés, I",K,Cochabamba,Cercado,"Sierra de Tunari, Parque Tunari near Lake Huara Huara at end of road, 23.5 km from park entry",4000 m,14-Mar-80,17°18'S,66°10'W,Bolivia,Hawkes et al.,fl
2548,Solanum,acaule,"Wood, JRI",10448,,K,Cochabamba,Quillacollo,On road from Quillacollo to Cerro Tunari,4100 m,27-Jan-96,"17°19'60""S","66°19'60""W",Bolivia,Wood,
2538,Solanum,acaule,"Nee, M",36642,"Solomon, J","K, MO, NY, US",Cochabamba,Tapacari,"Junction of main road from Cochabamba to La Paz with road to Independencia, ""Pongo""",3950 m,11-Mar-88,17°37'S,66°39'W,Bolivia,Nee & Solomon,
2607,Solanum,acaule,"Ochoa, CM",11912,"Salas, A",CUZ,La Paz,Camacho,Carabuco,3820 m,07-Mar-78,15°45'S,69°4'W,Bolivia,Ochoa & Salas,fr
2608,Solanum,acaule,"Spooner, DM",6742,"Willman García, F",,La Paz,Camacho,"19 km N of Escoma, on road to Huallpacayo, walking toward cliff faces, but collecting before about stone walls about houses, 1:250,000-scale map SD 19-14",3792 m,24-Mar-93,"15°32'14""S","69°3'39""W",Bolivia,Spooner & Willman García,fl
2619,Solanum,acaule,"Ochoa, CM",14947,"Salas, A",CUZ,La Paz,Franz Tamayo,"Huaylapuquio, descending from Catantika toward Pelechuco",4200 m,Feb-83,14°46'S,"69°7'60""W",Bolivia,Ochoa & Salas,fr
2569,Solanum,acaule,"Ochoa, CM",15519,"Salas, A",CUZ,La Paz,Inquisivi,"Huañacta or Huañacota, mountain downslope, between Quime and Tres Cruces",4000 m,24-Feb-84,"17°1'60""S","67°16'60""W",Bolivia,Ochoa & Salas,
2616,Solanum,acaule,"Ochoa, CM",15465,"Salas, A",CUZ,La Paz,Larecaja,"Cruzpata, about 4 K SE of Ancoma",3800 m,17-Feb-84,15°18'S,68°15'W,Bolivia,Ochoa & Salas,
2565,Solanum,acaule,"Conrad, J",2697,,MO,La Paz,Murillo,"Slopes of the low, rolling hills 2 km W of Villa Santa Fe, about 100 km N of Oruro",3900 m,19-Feb-74,"17°4'60""S","67°5'60""W",Bolivia,Conrad,fl
2586,Solanum,acaule,"Solomon, JC",13384,,MO,La Paz,Murillo,15.6 km above (SW) Cuticucho hydroelectric plant,4100 m,17-Apr-85,16°13'S,68°7'W,Bolivia,Solomon,fr
2587,Solanum,acaule,"Ochoa, CM",11829,"Salas, A",CUZ,La Paz,Omasuyos,Coromata,3950 m,25-Dec-77,16°10'S,68°34'W,Bolivia,Ochoa & Salas,
2593,Solanum,acaule,"Van Soest, L",59,,K,La Paz,Omasuyos,17 km from Achacachi on road to Sorata,4100 m,03-Mar-80,15°54'S,68°39'W,Bolivia,Van Soest,fl
2540,Solanum,acaule,"Shepard, RS",231,,"CAS, GH, UC, US",La Paz,Pacajes,Rosario,3810 m,s.d.,17°30'S,69°W,Bolivia,Shepard,fl
2606,Solanum,acaule,"Cárdenas, M",3685,,"K, LL",La Paz,Unknown,Near Sorata,3700 m,01-Feb-46,15°46'S,"68°37'60""W",Bolivia,Cárdenas,
2513,Solanum,acaule,"Astley, D",86,,"K, PTIS",Potosí,Frias,Cayara 25 km from Potosí up the Cayara Valley,NA,06-Apr-74,19°36'S,65°57'W,Bolivia,Astley,
2520,Solanum,acaule,"Ugent, D",5162,"Vidaurre, A",MO,Potosí,Frias,"Potosí, just N of the city",3945 m,30-Apr-63,"19°34'60""S",65°45'W,Bolivia,Ugent & Vidaurre,fl
2522,Solanum,acaule,"Ugent, D",5166,"Vidaurre, A",US,Potosí,Frias,"Potosí, just N of the city",3945 m,30-Apr-63,"19°34'60""S",65°45'W,Bolivia,Ugent & Vidaurre,fl
2503,Solanum,acaule,"Ochoa, CM",11961,,CUZ,Potosí,Sud Chichas,"Pass of Machu Cruz, cordillera of Mochara, between Impora and Tupiza",4250 m,17-Mar-78,21°15'S,"65°35'60""W",Bolivia,Ochoa,fr
2499,Solanum,acaule,"Ochoa, CM",11965,,CUZ,Potosí,Sud Chichas,"Descending from Paso de Machu Cruz toward Tupiza, along the road from Impora to Tupiza",3800 m,17-Mar-78,21°27'S,65°43'W,Bolivia,Ochoa,
2493,Solanum,acaule,"Ochoa, CM",11982,,CUZ,Tarija,Avilez,Between cerro Tajsara and Patanca,3700 m,19-Mar-78,"21°55'60""S",65°3'W,Bolivia,Ochoa,fr
2623,Solanum,acaule,"Pisano, E",1705,"Venturelli, E","K, SGO",Antofagasta,El Loa,Quebrada Amincha,3800 m,15-Jan-43,22°27'S,"68°55'48""W",Chile,Pisano & Venturelli,fr
942,Solanum,acaule,"Ochoa, CM",12059,,US,Ancash,Bolognesi,"Rajan, going down toward la Mina de Llipa",3900 m,01-Apr-78,"10°22'60""S",77°13'W,Peru,Ochoa,fl
802,Solanum,acaule,"Stein, B",1995,"Smith, D; Todazia, C",MO,Ancash,Recuay,"Huascarán National Park, Río Pachacoto drainage, 15 km from turn-off of paved highway, bottomland along river",4200 m,27-Jan-85,"9°19'60""S",77°24'W,Peru,Stein et al.,fr
1380,Solanum,acaule,"Ochoa, CM",13193,,CUZ,Ayacucho,Huamanga,"lower slopes of Condorcunca, near la Quinua",3600 m,Feb-79,"13°2'57""S","74°8'19""W",Peru,Ochoa,
1852,Solanum,acaule,"Ochoa, CM",13818,,CUZ,Ayacucho,Lucanas,"Pampa Marca, in route from Negro Mayo to Puquio",4200 m,26-Mar-80,14°40'S,"73°55'60""W",Peru,Ochoa,
1609,Solanum,acaule,"Ochoa, CM",13820,,"CUZ, F, NY",Ayacucho,Lucanas,"Santa Rita, on Pampa Marca-Puquio Road",4300 m,26-Mar-80,"13°31'56""S","73°49'46""W",Peru,Ochoa,fl
1843,Solanum,acaule,"Ochoa, CM",13831,,CUZ,Ayacucho,Lucanas,"Pampaccara, between Lucanas and Pampa Galeras",3800 m,26-Mar-80,14°37'S,"74°4'60""W",Peru,Ochoa,fr
1837,Solanum,acaule,"Ochoa, CM",14402,,CUZ,Ayacucho,Lucanas,"at the start of Pampas Galeras, ascending by Puquio-Andahuaylas Road",4000 m,30-Mar-81,14°33'S,74°3'W,Peru,Ochoa,fl
1645,Solanum,acaule,"Ochoa, CM",3262,"Salas, A",CUZ,Ayacucho,Parinacochas,"Yanamachay, between Rebentazon and Incuyo",3600 m,15-Mar-72,"13°37'60""S",74°12'W,Peru,Ochoa & Salas,fr
1727,Solanum,acaule,"Ortega, R",90,,CUZ,Cusco,Acomayo,"Pomacanchi, on road from Pomacanchi to Toccorani",NA,Feb-82,"14°1'37""S","71°34'2""W",Peru,Ortega,
1822,Solanum,acaule,"Ochoa, CM",15680,"Blanco, O",CUZ,Cusco,Canas,"Checca, between stone fences, at the entrance of the town entering by Yanaoca-Checca Road",3850 m,15-Mar-84,"14°28'22""S","71°23'38""W",Peru,Ochoa & Blanco,fr
1799,Solanum,acaule,"Iltis, HH",1230,"Ugent, D","CUZ, F, MO, US, WIS",Cusco,Canchis,"halfway between Sicuani & La Raya Pass ESE of Maranganí, about 8 km (rd.) WNW of Ocobamba",NA,08-Jan-63,14°22'S,"71°7'60""W",Peru,Iltis & Ugent,fl
1395,Solanum,acaule,"Ochoa, CM",13541,,CUZ,Cusco,Canchis,"Aguas Calientes, near Cusco-Puno train station",4000 m,24-Jan-80,13°9'S,72°31'W,Peru,Ochoa,fr
1331,Solanum,acaule,"Ochoa, CM",13172,,CUZ,Huancavelica,Huancavelica,km 75 Huancavelica-Iscuchaca Road,3900 m,11-Feb-79,12°40'S,75°15'W,Peru,Ochoa,fr
1122,Solanum,acaule,"Ochoa, CM",309,,CUZ,Junín,Jauja,"Incacctiacunan, in Jauja-La Oroya Road, via Lomo Largo",4000 m,Mar-48,11°37'S,"75°37'60""W",Peru,Ochoa,
1002,Solanum,acaule,"Ochoa, CM",15199,,CUZ,Pasco,Pasco,"2 km before La Victoria, in route Carhuamayo-Paucartambo",3800 m,01-May-83,"10°52'60""S",75°57'W,Peru,Ochoa,
1708,Solanum,acaule,"Ochoa, CM",5142,,CUZ,Puno,Carabaya,"Rumi-Rumi, between Macusani and Ollachea",4000 m,05-Apr-74,13°57'S,70°28'W,Peru,Ochoa,fl
1940,Solanum,acaule,"Iltis, HH",1435,"Ugent, D","CUZ, F, K, MO, US, WIS",Puno,Lampa,"about 9 km SW of Santa Lucía, at railroad crossing of stream draining Lago Jaracocha",4000 m,12-Jan-63,"15°46'12""S","70°34'60""W",Peru,Iltis & Ugent,
1825,Solanum,acaule,"Ochoa, CM",15626,,CUZ,Puno,Melgar,"Unta, near km 102 of Puno-Cusco Road between Santa Rosa and Paso de La Raya",4100 m,11-Mar-84,"14°35'8""S","70°51'23""W",Peru,Ochoa,fr
